geoid,geoid2,geodisplay,naicsid,establishment_type,op_type,tax_type,year,est_count,receipts,op_exp,payroll,q1payroll,employees,receipts_from_admin,receipts_from_estimate
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US104,104,"Albany-Schenectady, NY CSA",61,Educational services,A,All establishments,2012,255,142633,N,53140,12865,2137,34.2,4.7
330M200US104,104,"Albany-Schenectady, NY CSA",61,Educational services,T,Establishments subject to federal income tax,2012,195,D,N,D,D,g,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61,Educational services,Y,Establishments exempt from federal income tax,2012,60,D,D,D,D,f,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611,Educational services,A,All establishments,2012,255,142633,N,53140,12865,2137,34.2,4.7
330M200US104,104,"Albany-Schenectady, NY CSA",611,Educational services,T,Establishments subject to federal income tax,2012,195,D,N,D,D,g,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611,Educational services,Y,Establishments exempt from federal income tax,2012,60,D,D,D,D,f,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6114,Business schools and computer and management training,A,All establishments,2012,42,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6114,Business schools and computer and management training,T,Establishments subject to federal income tax,2012,31,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6114,Business schools and computer and management training,Y,Establishments exempt from federal income tax,2012,11,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61141,Business and secretarial schools,A,All establishments,2012,1,D,N,D,D,a,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61141,Business and secretarial schools,T,Establishments subject to federal income tax,2012,1,D,N,D,D,a,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611410,Business and secretarial schools,A,All establishments,2012,1,D,N,D,D,a,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611410,Business and secretarial schools,T,Establishments subject to federal income tax,2012,1,D,N,D,D,a,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61142,Computer training,A,All establishments,2012,11,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61142,Computer training,T,Establishments subject to federal income tax,2012,11,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611420,Computer training,A,All establishments,2012,11,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611420,Computer training,T,Establishments subject to federal income tax,2012,11,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61143,Professional and management development training,A,All establishments,2012,30,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61143,Professional and management development training,T,Establishments subject to federal income tax,2012,19,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61143,Professional and management development training,Y,Establishments exempt from federal income tax,2012,11,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611430,Professional and management development training,A,All establishments,2012,30,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611430,Professional and management development training,T,Establishments subject to federal income tax,2012,19,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611430,Professional and management development training,Y,Establishments exempt from federal income tax,2012,11,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6115,Technical and trade schools,A,All establishments,2012,29,43657,N,14938,3223,406,25.3,0.9
330M200US104,104,"Albany-Schenectady, NY CSA",6115,Technical and trade schools,T,Establishments subject to federal income tax,2012,19,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6115,Technical and trade schools,Y,Establishments exempt from federal income tax,2012,10,D,D,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61151,Technical and trade schools,A,All establishments,2012,29,43657,N,14938,3223,406,25.3,0.9
330M200US104,104,"Albany-Schenectady, NY CSA",61151,Technical and trade schools,T,Establishments subject to federal income tax,2012,19,D,N,D,D,c,D,D
