GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,YEAR.id,ESTAB,RCPTOT,OPEX,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US104,104,"Albany-Schenectady, NY CSA",62,Health care and social assistance,A,All establishments,2012,3312,7704425.00,N,3252921,792566,84446,11.1,8.4
330M200US104,104,"Albany-Schenectady, NY CSA",621,Ambulatory health care services,A,All establishments,2012,1884,2705840.00,N,1117373,274355,22479,23.8,9.6
330M200US104,104,"Albany-Schenectady, NY CSA",6211,Offices of physicians,A,All establishments,2012,710,1295718.00,N,540117,118101,8295,28.5,11
330M200US104,104,"Albany-Schenectady, NY CSA",62111,Offices of physicians,A,All establishments,2012,710,1295718.00,N,540117,118101,8295,28.5,11
330M200US104,104,"Albany-Schenectady, NY CSA",621111,Offices of physicians (except mental health specialists),A,All establishments,2012,680,0.00,N,D,D,0,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",621112,"Offices of physicians, mental health specialists",A,All establishments,2012,30,0.00,N,D,D,0,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6212,Offices of dentists,A,All establishments,2012,462,401595.00,N,142585,32848,3279,35.9,7.9
330M200US104,104,"Albany-Schenectady, NY CSA",62121,Offices of dentists,A,All establishments,2012,462,401595.00,N,142585,32848,3279,35.9,7.9
330M200US104,104,"Albany-Schenectady, NY CSA",621210,Offices of dentists,A,All establishments,2012,462,401595.00,N,142585,32848,3279,35.9,7.9
330M200US104,104,"Albany-Schenectady, NY CSA",6213,Offices of other health practitioners,A,All establishments,2012,419,181081.00,N,67015,16252,2016,39,13.7
330M200US104,104,"Albany-Schenectady, NY CSA",62131,Offices of chiropractors,A,All establishments,2012,121,23736.00,N,6860,1648,261,57.9,7.8
