GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian noninstitutionalized population
HC01_MOE_VC01,Total; Margin of Error; Civilian noninstitutionalized population
HC02_EST_VC01,Insured; Estimate; Civilian noninstitutionalized population
HC02_MOE_VC01,Insured; Margin of Error; Civilian noninstitutionalized population
HC03_EST_VC01,Percent Insured; Estimate; Civilian noninstitutionalized population
HC03_MOE_VC01,Percent Insured; Margin of Error; Civilian noninstitutionalized population
HC04_EST_VC01,Uninsured; Estimate; Civilian noninstitutionalized population
HC04_MOE_VC01,Uninsured; Margin of Error; Civilian noninstitutionalized population
HC05_EST_VC01,Percent Uninsured; Estimate; Civilian noninstitutionalized population
HC05_MOE_VC01,Percent Uninsured; Margin of Error; Civilian noninstitutionalized population
HC01_EST_VC04,Total; Estimate; AGE - Under 18 years
HC01_MOE_VC04,Total; Margin of Error; AGE - Under 18 years
HC02_EST_VC04,Insured; Estimate; AGE - Under 18 years
HC02_MOE_VC04,Insured; Margin of Error; AGE - Under 18 years
HC03_EST_VC04,Percent Insured; Estimate; AGE - Under 18 years
HC03_MOE_VC04,Percent Insured; Margin of Error; AGE - Under 18 years
HC04_EST_VC04,Uninsured; Estimate; AGE - Under 18 years
HC04_MOE_VC04,Uninsured; Margin of Error; AGE - Under 18 years
HC05_EST_VC04,Percent Uninsured; Estimate; AGE - Under 18 years
HC05_MOE_VC04,Percent Uninsured; Margin of Error; AGE - Under 18 years
HC01_EST_VC05,Total; Estimate; AGE - Under 18 years - Under 6 years
HC01_MOE_VC05,Total; Margin of Error; AGE - Under 18 years - Under 6 years
HC02_EST_VC05,Insured; Estimate; AGE - Under 18 years - Under 6 years
HC02_MOE_VC05,Insured; Margin of Error; AGE - Under 18 years - Under 6 years
HC03_EST_VC05,Percent Insured; Estimate; AGE - Under 18 years - Under 6 years
HC03_MOE_VC05,Percent Insured; Margin of Error; AGE - Under 18 years - Under 6 years
HC04_EST_VC05,Uninsured; Estimate; AGE - Under 18 years - Under 6 years
HC04_MOE_VC05,Uninsured; Margin of Error; AGE - Under 18 years - Under 6 years
HC05_EST_VC05,Percent Uninsured; Estimate; AGE - Under 18 years - Under 6 years
HC05_MOE_VC05,Percent Uninsured; Margin of Error; AGE - Under 18 years - Under 6 years
HC01_EST_VC06,Total; Estimate; AGE - Under 18 years - 6 to 17 years
HC01_MOE_VC06,Total; Margin of Error; AGE - Under 18 years - 6 to 17 years
HC02_EST_VC06,Insured; Estimate; AGE - Under 18 years - 6 to 17 years
HC02_MOE_VC06,Insured; Margin of Error; AGE - Under 18 years - 6 to 17 years
HC03_EST_VC06,Percent Insured; Estimate; AGE - Under 18 years - 6 to 17 years
HC03_MOE_VC06,Percent Insured; Margin of Error; AGE - Under 18 years - 6 to 17 years
HC04_EST_VC06,Uninsured; Estimate; AGE - Under 18 years - 6 to 17 years
HC04_MOE_VC06,Uninsured; Margin of Error; AGE - Under 18 years - 6 to 17 years
HC05_EST_VC06,Percent Uninsured; Estimate; AGE - Under 18 years - 6 to 17 years
