GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Country,Geographic region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309346863,311718857,314102623,316427395,318907401,321418820
0100000US,,United States,330M200US104,104,"United States - Albany-Schenectady, NY CSA","Albany-Schenectady, NY CSA",1168485,1168511,1168860,1169835,1171427,1173047,1173328,1173891
0100000US,,United States,330M200US106,106,"United States - Albuquerque-Santa Fe-Las Vegas, NM CSA","Albuquerque-Santa Fe-Las Vegas, NM CSA",1146049,1146049,1149120,1157781,1162200,1164682,1165686,1168533
0100000US,,United States,330M200US108,108,"United States - Amarillo-Borger, TX CSA","Amarillo-Borger, TX CSA",274083,274182,274929,278042,279869,280873,282802,283790
0100000US,,United States,330M200US118,118,"United States - Appleton-Oshkosh-Neenah, WI CSA","Appleton-Oshkosh-Neenah, WI CSA",392660,392660,393003,395112,397358,399413,401122,402553
0100000US,,United States,330M200US120,120,"United States - Asheville-Brevard, NC CSA","Asheville-Brevard, NC CSA",457948,457950,458527,461185,464798,470094,474773,480051
0100000US,,United States,330M200US122,122,"United States - Atlanta--Athens-Clarke County--Sandy Springs, GA CSA","Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",5910296,5910295,5928855,6003653,6089020,6162258,6259454,6365108
0100000US,,United States,330M200US140,140,"United States - Bend-Redmond-Prineville, OR CSA","Bend-Redmond-Prineville, OR CSA",178711,178711,178738,180444,182400,186712,191437,196898
0100000US,,United States,330M200US142,142,"United States - Birmingham-Hoover-Talladega, AL CSA","Birmingham-Hoover-Talladega, AL CSA",1302283,1302515,1303181,1304543,1307493,1312147,1316109,1319238
0100000US,,United States,330M200US144,144,"United States - Bloomington-Bedford, IN CSA","Bloomington-Bedford, IN CSA",205683,205671,206263,207917,208723,209117,210220,211072
0100000US,,United States,330M200US145,145,"United States - Bloomington-Pontiac, IL CSA","Bloomington-Pontiac, IL CSA",225083,225083,225315,226207,227624,228683,227356,226084
0100000US,,United States,330M200US146,146,"United States - Bloomsburg-Berwick-Sunbury, PA CSA","Bloomsburg-Berwick-Sunbury, PA CSA",264739,264735,264736,264476,264844,264439,264511,263873
0100000US,,United States,330M200US147,147,"United States - Boise City-Mountain Home-Ontario, ID-OR CSA","Boise City-Mountain Home-Ontario, ID-OR CSA",697535,697534,699123,707202,717206,729532,744138,756061
0100000US,,United States,330M200US148,148,"United States - Boston-Worcester-Providence, MA-RI-NH-CT CSA","Boston-Worcester-Providence, MA-RI-NH-CT CSA",7893376,7893747,7910231,7955936,8004855,8056994,8108613,8152573
0100000US,,United States,330M200US150,150,"United States - Bowling Green-Glasgow, KY CSA","Bowling Green-Glasgow, KY CSA",210871,210871,211396,213155,214725,216966,219012,221915
0100000US,,United States,330M200US154,154,"United States - Brownsville-Harlingen-Raymondville, TX CSA","Brownsville-Harlingen-Raymondville, TX CSA",428354,428353,429827,435249,438097,440024,442317,444059
0100000US,,United States,330M200US160,160,"United States - Buffalo-Cheektowaga, NY CSA","Buffalo-Cheektowaga, NY CSA",1215826,1215905,1215826,1215444,1214581,1215024,1215280,1213152
0100000US,,United States,330M200US162,162,"United States - Cape Coral-Fort Myers-Naples, FL CSA","Cape Coral-Fort Myers-Naples, FL CSA",940274,940274,943215,959110,977380,1000466,1027588,1059287
0100000US,,United States,330M200US164,164,"United States - Cape Girardeau-Sikeston, MO-IL CSA","Cape Girardeau-Sikeston, MO-IL CSA",135466,135462,135684,136193,136358,136404,136435,136542
0100000US,,United States,330M200US168,168,"United States - Cedar Rapids-Iowa City, IA CSA","Cedar Rapids-Iowa City, IA CSA",410526,410526,411397,416458,420599,424204,428482,432538
0100000US,,United States,330M200US170,170,"United States - Charleston-Huntington-Ashland, WV-OH-KY CSA","Charleston-Huntington-Ashland, WV-OH-KY CSA",708228,708245,708225,706292,705540,702820,698613,693726
0100000US,,United States,330M200US172,172,"United States - Charlotte-Concord, NC-SC CSA","Charlotte-Concord, NC-SC CSA",2375675,2375916,2382214,2414874,2453246,2493891,2536813,2583956
0100000US,,United States,330M200US174,174,"United States - Chattanooga-Cleveland-Dalton, TN-GA-AL CSA","Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",923460,923461,924729,930246,936382,940910,944904,950005
0100000US,,United States,330M200US176,176,"United States - Chicago-Naperville, IL-IN-WI CSA","Chicago-Naperville, IL-IN-WI CSA",9840929,9841359,9851016,9874634,9898334,9921628,9932164,9923358
0100000US,,United States,330M200US178,178,"United States - Cincinnati-Wilmington-Maysville, OH-KY-IN CSA","Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",2174110,2174282,2177265,2182861,2189168,2197052,2207450,2216735
0100000US,,United States,330M200US184,184,"United States - Cleveland-Akron-Canton, OH CSA","Cleveland-Akron-Canton, OH CSA",3515646,3515657,3513633,3504422,3498880,3499477,3499218,3493596
0100000US,,United States,330M200US185,185,"United States - Cleveland-Indianola, MS CSA","Cleveland-Indianola, MS CSA",63595,63598,63105,62379,62501,62017,61344,60327
0100000US,,United States,330M200US188,188,"United States - Clovis-Portales, NM CSA","Clovis-Portales, NM CSA",68222,68222,68973,70144,71053,70628,70681,69518
0100000US,,United States,330M200US190,190,"United States - Columbia-Moberly-Mexico, MO CSA","Columbia-Moberly-Mexico, MO CSA",213585,213585,214101,216863,219665,221718,224019,226174
0100000US,,United States,330M200US192,192,"United States - Columbia-Orangeburg-Newberry, SC CSA","Columbia-Orangeburg-Newberry, SC CSA",897607,897480,899563,905957,913025,919974,927742,937288
0100000US,,United States,330M200US194,194,"United States - Columbus-Auburn-Opelika, GA-AL CSA","Columbus-Auburn-Opelika, GA-AL CSA",469327,469997,471380,480716,493879,503102,502820,504865
0100000US,,United States,330M200US198,198,"United States - Columbus-Marion-Zanesville, OH CSA","Columbus-Marion-Zanesville, OH CSA",2308509,2308559,2313208,2332027,2350929,2374133,2400837,2424831
0100000US,,United States,330M200US204,204,"United States - Corpus Christi-Kingsville-Alice, TX CSA","Corpus Christi-Kingsville-Alice, TX CSA",501500,501503,501365,504720,511188,517571,522140,526068
0100000US,,United States,330M200US206,206,"United States - Dallas-Fort Worth, TX-OK CSA","Dallas-Fort Worth, TX-OK CSA",6817483,6817579,6844509,6967257,7103649,7217180,7355868,7504362
